state,year,season,region,avg_temp_f,precip_in,drought_index,rural_population_pct,forest_cover_pct,rodent_habitat_score,historical_cases,annual_cases,risk_level,source_type
Arizona,2018,spring,Southwest,68,0.8,2.8,10,25,78,6,4,high,demo
Arizona,2019,summer,Southwest,88,0.6,3.7,10,25,81,7,5,high,demo
Arizona,2020,fall,Southwest,73,0.9,2.9,10,25,74,5,3,medium,demo
Arizona,2021,winter,Southwest,51,1.3,1.7,10,25,59,4,1,medium,demo
Arizona,2022,spring,Southwest,70,0.7,3.2,10,25,83,7,5,high,demo
New Mexico,2018,spring,Southwest,62,0.9,2.5,36,31,79,7,4,high,demo
New Mexico,2019,summer,Southwest,77,1.1,3.5,36,31,84,8,6,high,demo
New Mexico,2020,fall,Southwest,65,1.0,2.7,36,31,76,6,3,medium,demo
New Mexico,2021,winter,Southwest,42,1.2,1.8,36,31,62,5,1,medium,demo
New Mexico,2022,spring,Southwest,64,0.8,3.1,36,31,82,8,5,high,demo
Colorado,2018,spring,Mountain West,49,1.6,1.9,14,35,68,4,2,medium,demo
Colorado,2019,summer,Mountain West,72,1.2,2.6,14,35,73,5,3,medium,demo
Colorado,2020,fall,Mountain West,55,1.1,2.4,14,35,69,4,2,medium,demo
Colorado,2021,winter,Mountain West,31,1.5,1.2,14,35,47,3,0,low,demo
Colorado,2022,spring,Mountain West,51,1.4,2.1,14,35,71,5,3,medium,demo
Utah,2018,spring,Mountain West,54,1.2,2.2,9,34,66,3,2,medium,demo
Utah,2019,summer,Mountain West,79,0.7,3.3,9,34,74,4,3,medium,demo
Utah,2020,fall,Mountain West,60,0.9,2.7,9,34,69,4,2,medium,demo
Utah,2021,winter,Mountain West,34,1.2,1.4,9,34,45,2,0,low,demo
Utah,2022,spring,Mountain West,56,0.8,2.9,9,34,76,5,4,high,demo
California,2018,spring,West Coast,59,1.5,1.8,5,32,58,2,1,low,demo
California,2019,summer,West Coast,76,0.4,3.6,5,32,70,3,2,medium,demo
California,2020,fall,West Coast,66,0.8,2.8,5,32,63,2,1,low,demo
California,2021,winter,West Coast,49,2.1,1.0,5,32,42,1,0,low,demo
California,2022,spring,West Coast,61,1.0,2.4,5,32,65,3,2,medium,demo
Oregon,2018,spring,Pacific Northwest,52,2.7,0.8,19,48,46,1,0,low,demo
Oregon,2019,summer,Pacific Northwest,68,1.1,1.5,19,48,55,2,1,low,demo
Oregon,2020,fall,Pacific Northwest,55,2.5,0.7,19,48,44,1,0,low,demo
Oregon,2021,winter,Pacific Northwest,42,4.1,0.4,19,48,33,0,0,low,demo
Oregon,2022,spring,Pacific Northwest,53,2.2,0.9,19,48,49,1,1,low,demo
Washington,2018,spring,Pacific Northwest,50,2.5,0.6,16,52,41,1,0,low,demo
Washington,2019,summer,Pacific Northwest,66,1.0,1.3,16,52,50,1,1,low,demo
Washington,2020,fall,Pacific Northwest,54,2.3,0.7,16,52,43,1,0,low,demo
Washington,2021,winter,Pacific Northwest,39,4.4,0.3,16,52,30,0,0,low,demo
Washington,2022,spring,Pacific Northwest,51,2.1,0.8,16,52,47,1,1,low,demo
Nevada,2018,spring,Mountain West,57,0.7,2.6,6,16,61,2,1,medium,demo
Nevada,2019,summer,Mountain West,83,0.3,3.9,6,16,72,3,3,medium,demo
Nevada,2020,fall,Mountain West,63,0.5,3.1,6,16,67,3,2,medium,demo
Nevada,2021,winter,Mountain West,38,0.8,2.0,6,16,48,2,0,low,demo
Nevada,2022,spring,Mountain West,59,0.4,3.3,6,16,75,4,4,high,demo
Texas,2018,spring,South Central,67,2.2,1.5,15,28,52,1,1,low,demo
Texas,2019,summer,South Central,84,1.8,2.3,15,28,60,2,2,medium,demo
Texas,2020,fall,South Central,70,2.0,1.7,15,28,54,1,1,low,demo
Texas,2021,winter,South Central,48,2.4,0.9,15,28,39,0,0,low,demo
Texas,2022,spring,South Central,69,1.7,2.5,15,28,63,2,2,medium,demo
Montana,2018,spring,Northern Rockies,43,1.8,1.6,44,27,57,2,1,low,demo
Montana,2019,summer,Northern Rockies,67,1.5,2.2,44,27,65,3,2,medium,demo
Montana,2020,fall,Northern Rockies,48,1.4,2.0,44,27,61,2,1,medium,demo
Montana,2021,winter,Northern Rockies,25,1.2,1.1,44,27,40,1,0,low,demo
Montana,2022,spring,Northern Rockies,45,1.6,1.9,44,27,60,2,1,medium,demo
New York,2018,spring,Northeast,48,3.0,0.5,12,61,30,0,0,low,demo
New York,2019,summer,Northeast,71,3.2,0.7,12,61,35,0,0,low,demo
New York,2020,fall,Northeast,53,3.4,0.4,12,61,29,0,0,low,demo
New York,2021,winter,Northeast,30,3.1,0.3,12,61,22,0,0,low,demo
New York,2022,spring,Northeast,49,3.0,0.5,12,61,31,0,0,low,demo
